2025-05-04 23:08:33,997 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-05-04 23:09:05,132 [main] INFO  o.t.s.d.a.CachedAttributesService - Going to use directExecutor for the local cache type caffeine
2025-05-04 23:09:07,807 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [public/index.html]
2025-05-04 23:09:10,748 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@20b60f8c, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@52e2e8bb, org.springframework.security.web.context.SecurityContextHolderFilter@4947843e, org.springframework.security.web.header.HeaderWriterFilter@603da45, org.springframework.security.web.csrf.CsrfFilter@a13d8f2, org.springframework.security.web.authentication.logout.LogoutFilter@3594aadb, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@43af96fa, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@3552ccb6, org.springframework.security.oauth2.client.web.OAuth2LoginAuthenticationFilter@740bdef3, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@7051f39a, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@7edc8a5f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2d1651cf, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5b0ed197, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@35117794, org.springframework.security.oauth2.client.web.OAuth2AuthorizationCodeGrantFilter@3140f760, org.springframework.security.web.access.ExceptionTranslationFilter@84edfb9, org.springframework.security.web.access.intercept.AuthorizationFilter@62446db1]
2025-05-04 23:09:11,047 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2025-05-04 23:09:11,687 [main] INFO  o.s.i.endpoint.EventDrivenConsumer - Adding {logging-channel-adapter:_org.springframework.integration.errorLogger} as a subscriber to the 'errorChannel' channel
2025-05-04 23:09:11,688 [main] INFO  o.s.i.c.PublishSubscribeChannel - Channel 'application.errorChannel' has 1 subscriber(s).
2025-05-04 23:09:11,689 [main] INFO  o.s.i.endpoint.EventDrivenConsumer - started bean '_org.springframework.integration.errorLogger'
2025-05-04 23:09:11,759 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-0.0.0.0-9090"]
2025-05-04 23:09:11,782 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 9090 (http) with context path ''
2025-05-04 23:09:11,917 [main] INFO  o.t.s.i.ThingsboardInstallService - Starting ThingsBoard Installation...
2025-05-04 23:09:11,918 [main] INFO  o.t.s.i.ThingsboardInstallService - Installing DataBase schema for entities...
2025-05-04 23:09:11,918 [main] INFO  o.t.s.s.i.SqlAbstractDatabaseSchemaService - Installing SQL DataBase schema part: schema-entities.sql
2025-05-04 23:09:13,019 [main] INFO  o.t.s.s.i.SqlAbstractDatabaseSchemaService - Installing SQL DataBase schema indexes part: schema-entities-idx.sql
2025-05-04 23:09:13,346 [main] INFO  o.t.s.s.i.SqlEntityDatabaseSchemaService - Installing SQL DataBase schema PostgreSQL specific indexes part: schema-entities-idx-psql-addon.sql
2025-05-04 23:09:13,409 [main] INFO  o.t.s.s.i.SqlEntityDatabaseSchemaService - Installing SQL DataBase schema views and functions: schema-views-and-functions.sql
2025-05-04 23:09:13,498 [main] INFO  o.t.s.s.i.SqlAbstractDatabaseSchemaService - Successfully executed query: DROP VIEW IF EXISTS device_info_view CASCADE;
2025-05-04 23:09:13,620 [http-nio-0.0.0.0-9090-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-05-04 23:09:13,621 [http-nio-0.0.0.0-9090-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-05-04 23:09:13,625 [http-nio-0.0.0.0-9090-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2025-05-04 23:09:18,544 [main] INFO  o.t.s.s.i.SqlAbstractDatabaseSchemaService - Successfully executed query: CREATE OR REPLACE VIEW device_info_view AS SELECT * FROM device_info_active_attribute_view;
2025-05-04 23:09:23,546 [main] INFO  o.t.s.i.ThingsboardInstallService - Installing DataBase schema for timeseries...
2025-05-04 23:09:23,548 [main] INFO  o.t.s.s.i.SqlAbstractDatabaseSchemaService - Installing SQL DataBase schema part: schema-ts-psql.sql
2025-05-04 23:09:23,664 [main] INFO  o.t.s.s.i.SqlAbstractDatabaseSchemaService - Successfully executed query: CREATE TABLE IF NOT EXISTS ts_kv_indefinite PARTITION OF ts_kv DEFAULT;
2025-05-04 23:09:28,665 [main] INFO  o.t.s.i.ThingsboardInstallService - Loading system data...
2025-05-04 23:09:29,390 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-05-04 23:09:30,921 [main] INFO  c.d.oss.driver.api.core.uuid.Uuids - PID obtained through JMX: 50
2025-05-04 23:09:31,909 [main] INFO  org.owasp.validator.html.Policy - Attempting to load AntiSamy policy from an input stream.
2025-05-04 23:09:32,061 [main] WARN  org.owasp.validator.html.Policy - The directive "noopenerAndNoreferrerAnchors" is enabled by default, but disabled in this policy. It is recommended to leave it enabled to prevent reverse tabnabbing attacks.
2025-05-04 23:09:32,789 [main] INFO  o.t.s.s.i.DefaultSystemDataLoaderService - Creating JWT admin settings...
2025-05-04 23:09:32,794 [main] INFO  o.t.s.s.s.a.j.s.DefaultJwtSettingsService - Saving new JWT admin settings. From this moment, the JWT parameters from YAML and ENV will be ignored
2025-05-04 23:09:32,819 [main] INFO  o.t.s.service.install.InstallScripts - Loading system widgets
2025-05-04 23:09:52,108 [main] INFO  o.t.s.service.install.InstallScripts - Loading system SCADA symbols
2025-05-04 23:09:58,427 [main] INFO  o.t.s.s.i.DefaultSystemDataLoaderService - Creating default notification configs for system admin
2025-05-04 23:09:58,635 [main] INFO  o.t.s.s.i.DefaultSystemDataLoaderService - Creating default notification configs for all tenants
2025-05-04 23:10:04,074 [main] INFO  o.t.s.service.install.InstallScripts - Loading system images and resources...
2025-05-04 23:10:04,151 [main] INFO  o.t.s.d.resource.BaseResourceService - Creating system resource gateway-management-extension.js
2025-05-04 23:10:04,213 [main] INFO  o.t.s.d.resource.BaseResourceService - Creating system resource gateways_dashboard.json
2025-05-04 23:10:04,225 [main] INFO  o.t.s.i.ThingsboardInstallService - Loading demo data...
2025-05-04 23:10:05,161 [sql-log-1-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - Queue-0 [TS] queueSize [0] totalAdded [17] totalSaved [17] totalFailed [0]
2025-05-04 23:10:05,197 [sql-log-1-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - Queue-0 [TS Latest] queueSize [0] totalAdded [17] totalSaved [17] totalFailed [0]
2025-05-04 23:10:06,829 [main] INFO  o.t.s.i.ThingsboardInstallService - Installation finished successfully!
2025-05-04 23:10:06,836 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-0.0.0.0-9090"]
2025-05-04 23:10:06,869 [main] INFO  o.s.i.endpoint.EventDrivenConsumer - Removing {logging-channel-adapter:_org.springframework.integration.errorLogger} as a subscriber to the 'errorChannel' channel
2025-05-04 23:10:06,870 [main] INFO  o.s.i.c.PublishSubscribeChannel - Channel 'application.errorChannel' has 0 subscriber(s).
2025-05-04 23:10:06,870 [main] INFO  o.s.i.endpoint.EventDrivenConsumer - stopped bean '_org.springframework.integration.errorLogger'
2025-05-04 23:10:06,882 [sql-queue-2-attributes-7-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - [Attributes] Queue polling was interrupted
2025-05-04 23:10:06,882 [sql-queue-2-ts latest-13-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - [TS Latest] Queue polling was interrupted
2025-05-04 23:10:06,882 [sql-queue-1-ts latest-12-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - [TS Latest] Queue polling was interrupted
2025-05-04 23:10:06,882 [sql-queue-0-ts-8-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - [TS] Queue polling was interrupted
2025-05-04 23:10:06,883 [sql-queue-0-ts-8-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - [TS] Queue polling completed
2025-05-04 23:10:06,882 [sql-queue-0-ts latest-11-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - [TS Latest] Queue polling was interrupted
2025-05-04 23:10:06,882 [sql-queue-2-ts-10-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - [TS] Queue polling was interrupted
2025-05-04 23:10:06,882 [sql-queue-1-attributes-6-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - [Attributes] Queue polling was interrupted
2025-05-04 23:10:06,882 [sql-queue-1-ts-9-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - [TS] Queue polling was interrupted
2025-05-04 23:10:06,882 [sql-queue-2-attributes-7-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - [Attributes] Queue polling completed
2025-05-04 23:10:06,882 [sql-queue-0-attributes-5-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - [Attributes] Queue polling was interrupted
2025-05-04 23:10:06,883 [sql-queue-1-ts latest-12-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - [TS Latest] Queue polling completed
2025-05-04 23:10:06,883 [sql-queue-2-ts latest-13-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - [TS Latest] Queue polling completed
2025-05-04 23:10:06,883 [sql-queue-0-ts latest-11-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - [TS Latest] Queue polling completed
2025-05-04 23:10:06,883 [sql-queue-2-ts-10-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - [TS] Queue polling completed
2025-05-04 23:10:06,884 [sql-queue-1-attributes-6-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - [Attributes] Queue polling completed
2025-05-04 23:10:06,884 [sql-queue-1-ts-9-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - [TS] Queue polling completed
2025-05-04 23:10:06,884 [sql-queue-0-attributes-5-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - [Attributes] Queue polling completed
2025-05-04 23:10:06,891 [sql-queue-0-edge events-15-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - [Edge Events] Queue polling was interrupted
2025-05-04 23:10:06,891 [sql-queue-0-edge events-15-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - [Edge Events] Queue polling completed
2025-05-04 23:10:06,891 [sql-queue-2-events-4-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - [Events] Queue polling was interrupted
2025-05-04 23:10:06,891 [sql-queue-0-events-2-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - [Events] Queue polling was interrupted
2025-05-04 23:10:06,892 [sql-queue-0-events-2-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - [Events] Queue polling completed
2025-05-04 23:10:06,891 [sql-queue-1-events-3-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - [Events] Queue polling was interrupted
2025-05-04 23:10:06,892 [sql-queue-1-events-3-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - [Events] Queue polling completed
2025-05-04 23:10:06,892 [sql-queue-2-events-4-thread-1] INFO  o.t.s.dao.sql.TbSqlBlockingQueue - [Events] Queue polling completed
2025-05-04 23:10:06,894 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-05-04 23:10:06,896 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-05-04 23:10:06,915 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-05-04 23:21:25,224 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-05-04 23:21:29,223 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-05-04 23:21:29,226 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in LAZY mode.
2025-05-04 23:21:29,592 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 342 ms. Found 1 JPA repository interface.
2025-05-04 23:21:29,608 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-05-04 23:21:29,608 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in LAZY mode.
2025-05-04 23:21:29,684 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 75 ms. Found 6 JPA repository interfaces.
2025-05-04 23:21:29,687 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-05-04 23:21:29,688 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in LAZY mode.
2025-05-04 23:21:30,224 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 535 ms. Found 53 JPA repository interfaces.
2025-05-04 23:21:30,226 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-05-04 23:21:30,227 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in LAZY mode.
2025-05-04 23:21:30,246 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 18 ms. Found 1 JPA repository interface.
2025-05-04 23:21:32,249 [main] INFO  o.s.i.c.DefaultConfiguringBeanFactoryPostProcessor - No bean named 'errorChannel' has been explicitly defined. Therefore, a default PublishSubscribeChannel will be created.
2025-05-04 23:21:32,286 [main] INFO  o.s.i.c.DefaultConfiguringBeanFactoryPostProcessor - No bean named 'integrationHeaderChannelRegistry' has been explicitly defined. Therefore, a default DefaultHeaderChannelRegistry will be created.
2025-05-04 23:21:34,567 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 9090 (http)
2025-05-04 23:21:34,599 [main] INFO  o.a.coyote.http11.Http11NioProtocol - The ["http-nio-0.0.0.0-9090"] connector has been configured to support HTTP upgrade to [h2c]
2025-05-04 23:21:34,600 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-0.0.0.0-9090"]
2025-05-04 23:21:34,605 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-05-04 23:21:34,606 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.33]
2025-05-04 23:21:34,716 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-05-04 23:21:34,717 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 9177 ms
2025-05-04 23:21:36,026 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-05-04 23:21:36,529 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.10.Final
2025-05-04 23:21:36,707 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-05-04 23:21:37,140 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-05-04 23:21:37,478 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@7b6e196e
2025-05-04 23:21:37,483 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-05-04 23:21:39,247 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-05-04 23:21:43,718 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-05-04 23:21:43,743 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-05-04 23:21:47,253 [main] INFO  o.t.s.d.a.CachedAttributesService - Going to use directExecutor for the local cache type caffeine
2025-05-04 23:21:49,883 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [public/index.html]
2025-05-04 23:21:53,548 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2bc0ea42, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@412144f4, org.springframework.security.web.context.SecurityContextHolderFilter@3a14eb93, org.springframework.security.web.header.HeaderWriterFilter@4b90c73e, org.springframework.security.web.csrf.CsrfFilter@21f1669b, org.springframework.security.web.authentication.logout.LogoutFilter@19038b4d, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@1f91d378, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@48e75d0c, org.springframework.security.oauth2.client.web.OAuth2LoginAuthenticationFilter@3d5841c7, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@5a235a58, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@20b60f8c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@19b05991, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7d7e4be0, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@52e2e8bb, org.springframework.security.oauth2.client.web.OAuth2AuthorizationCodeGrantFilter@5c0f5789, org.springframework.security.web.access.ExceptionTranslationFilter@d1171ec, org.springframework.security.web.access.intercept.AuthorizationFilter@5024d48a]
2025-05-04 23:21:53,961 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2025-05-04 23:21:54,587 [main] INFO  o.s.i.endpoint.EventDrivenConsumer - Adding {logging-channel-adapter:_org.springframework.integration.errorLogger} as a subscriber to the 'errorChannel' channel
2025-05-04 23:21:54,588 [main] INFO  o.s.i.c.PublishSubscribeChannel - Channel 'application.errorChannel' has 1 subscriber(s).
2025-05-04 23:21:54,589 [main] INFO  o.s.i.endpoint.EventDrivenConsumer - started bean '_org.springframework.integration.errorLogger'
2025-05-04 23:21:54,671 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-0.0.0.0-9090"]
2025-05-04 23:21:54,706 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 9090 (http) with context path ''
2025-05-04 23:21:54,920 [main] INFO  o.t.s.i.ThingsboardInstallService - Starting ThingsBoard Installation...
2025-05-04 23:21:54,922 [main] INFO  o.t.s.i.ThingsboardInstallService - Installing DataBase schema for entities...
2025-05-04 23:21:54,924 [main] INFO  o.t.s.s.i.SqlAbstractDatabaseSchemaService - Installing SQL DataBase schema part: schema-entities.sql
2025-05-04 23:21:56,627 [main] INFO  o.t.s.s.i.SqlAbstractDatabaseSchemaService - Installing SQL DataBase schema indexes part: schema-entities-idx.sql
2025-05-04 23:21:57,147 [main] INFO  o.t.s.s.i.SqlEntityDatabaseSchemaService - Installing SQL DataBase schema PostgreSQL specific indexes part: schema-entities-idx-psql-addon.sql
2025-05-04 23:21:57,249 [main] INFO  o.t.s.s.i.SqlEntityDatabaseSchemaService - Installing SQL DataBase schema views and functions: schema-views-and-functions.sql
2025-05-04 23:21:57,408 [main] INFO  o.t.s.s.i.SqlAbstractDatabaseSchemaService - Successfully executed query: DROP VIEW IF EXISTS device_info_view CASCADE;
2025-05-04 23:22:00,920 [http-nio-0.0.0.0-9090-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-05-04 23:22:00,921 [http-nio-0.0.0.0-9090-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-05-04 23:22:00,925 [http-nio-0.0.0.0-9090-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2025-05-04 23:22:02,441 [main] INFO  o.t.s.s.i.SqlAbstractDatabaseSchemaService - Successfully executed query: CREATE OR REPLACE VIEW device_info_view AS SELECT * FROM device_info_active_attribute_view;
2025-05-04 23:22:07,442 [main] INFO  o.t.s.i.ThingsboardInstallService - Installing DataBase schema for timeseries...
2025-05-04 23:22:07,443 [main] INFO  o.t.s.s.i.SqlAbstractDatabaseSchemaService - Installing SQL DataBase schema part: schema-ts-psql.sql
2025-05-04 23:22:07,544 [main] INFO  o.t.s.s.i.SqlAbstractDatabaseSchemaService - Successfully executed query: CREATE TABLE IF NOT EXISTS ts_kv_indefinite PARTITION OF ts_kv DEFAULT;
2025-05-04 23:22:12,543 [main] INFO  o.t.s.i.ThingsboardInstallService - Loading system data...
2025-05-04 23:22:13,121 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-05-04 23:22:15,271 [main] INFO  c.d.oss.driver.api.core.uuid.Uuids - PID obtained through JMX: 50
2025-05-04 23:22:16,536 [main] INFO  org.owasp.validator.html.Policy - Attempting to load AntiSamy policy from an input stream.
2025-05-04 23:22:16,766 [main] WARN  org.owasp.validator.html.Policy - The directive "noopenerAndNoreferrerAnchors" is enabled by default, but disabled in this policy. It is recommended to leave it enabled to prevent reverse tabnabbing attacks.
2025-05-04 23:22:17,602 [main] INFO  o.t.s.s.i.DefaultSystemDataLoaderService - Creating JWT admin settings...
2025-05-04 23:22:17,608 [main] INFO  o.t.s.s.s.a.j.s.DefaultJwtSettingsService - Saving new JWT admin settings. From this moment, the JWT parameters from YAML and ENV will be ignored
2025-05-04 23:22:17,633 [main] INFO  o.t.s.service.install.InstallScripts - Loading system widgets
2025-05-04 23:22:36,242 [main] INFO  o.t.s.service.install.InstallScripts - Loading system SCADA symbols
2025-05-04 23:22:43,623 [main] INFO  o.t.s.s.i.DefaultSystemDataLoaderService - Creating default notification configs for system admin
2025-05-04 23:22:43,874 [main] INFO  o.t.s.s.i.DefaultSystemDataLoaderService - Creating default notification configs for all tenants
2025-05-04 23:22:49,964 [main] INFO  o.t.s.service.install.InstallScripts - Loading system images and resources...
2025-05-04 23:22:50,035 [main] INFO  o.t.s.d.resource.BaseResourceService - Creating system resource gateway-management-extension.js
2025-05-04 23:22:50,095 [main] INFO  o.t.s.d.resource.BaseResourceService - Creating system resource gateways_dashboard.json
2025-05-04 23:22:50,107 [main] INFO  o.t.s.i.ThingsboardInstallService - Loading demo data...
